producto_id,nombre,categoria,ingredientes
11,Granizado de Café,Frías,"Café"
12,Granizado de Mocca,Frías,"Café, Chocolate"
13,Granizado de Oreo,Frías,"Café, Galletas Oreo"
14,Granizado de Milo,Frías,"Café, Milo"
15,Granizado de Café Caramelo,Frías,"Café, Jarabe de Caramelo"
16,Nevado de Café,Frías,"Café"
17,Nevado de Mocca,Frías,"Café, Chocolate"
18,Nevado de Oreo,Frías,"Café, Galletas Oreo"
19,Nevado de Milo,Frías,"Café, Milo"
20,Nevado de Café Caramelo,Frías,"Café, Jarabe de Caramelo"
21,Malteada de Café,Frías,"Café"
22,Malteada de Mocca,Frías,"Café, Chocolate"
23,Malteada de Oreo,Frías,"Café, Galletas Oreo"
24,Malteada de Milo,Frías,"Café, Milo"
25,Malteada de Vanilla,Frías,"Café, Vainilla"
26,Café Frozen,Frías,"Café"
27,Capuccino Frío,Frías,"Café, Leche Espumosa"
28,Limonada Natural,Frías,"Limonada, Limón"
29,Limonada de Yerbabuena,Frías,"Limonada, Yerbabuena"
30,Limonada de Coco,Frías,"Limonada, Coco"
31,Limonada de Cerezada,Frías,"Limonada, Cereza"
32,Limonada de Café,Frías,"Limonada, Café"
33,Limonada de Mango,Frías,"Limonada, Mango"
34,Smoothie de Maracuyá,Frías,"Smoothie, Maracuyá"
35,Smoothie de Frutos Rojos,Frías,"Smoothie, Frutos Rojos"
36,Soda Italiana de Maracuyá,Frías,"Soda Italiana, Maracuyá"
37,Soda Italiana de Mora,Frías,"Soda Italiana, Mora"
38,Soda Italiana de Lulo,Frías,"Soda Italiana, Lulo"
39,Soda de Bretaña,Frías,"Soda, Bretaña"
40,Soda de Ginger,Frías,"Soda, Ginger"
41,Soda de Coca-Cola,Frías,"Soda, Coca-Cola"

